,h3.1,h3.2,h3.3,h11.1,h11.2,h11.3
5_8S_rRNA,752.249,313.495,443.011,238.046,528.309,418.258
5S_rRNA,4.38891,6.48438,13.4034,0,8.2098,0
7SK,0.440016,9.27E-08,3.88E-07,3.29E-08,0,1.66E-08
A1BG,10.4048,13.2769,10.5072,12.675,11.4786,11.423
A1BG-AS1,8.22304,9.74144,10.7404,7.57972,7.53003,8.6543
A1CF,0.0366298,0.00638872,0.00684932,0.0879614,0.0180109,0.160438
A2M,0.12068,0.219233,0.16442,0.323729,0.0471004,0.493004
A2M-AS1,0.377466,0.513166,0.592216,0.138552,0.274023,0.24811
A2ML1,0.0642822,0.245362,0.242774,0.0586635,0.0544413,0.0814932
A2ML1-AS1,0,0,0,0,0,0
A2ML1-AS2,0,0.255926,0,0,0,0
A2MP1,0.0160877,0,0,0.0143509,0,0
A3GALT2,0.0742236,0.336067,0,0.0664019,0.0613436,0
A4GALT,1.51159,2.29377,2.08112,2.2464,3.70259,3.01488
A4GNT,0.118487,0.0357904,0.0770268,0,0,0
AA06,0,0,0,0,0,0
AAAS,52.9319,50.6596,52.6071,54.8059,57.7198,57.4006
AACS,8.10872,8.22107,7.16651,10.8019,9.67024,10.2668
AACSP1,0.144013,0.0435144,0.116855,0.0612536,0.1183,0.0681882
AADAC,0,0,0,0,0,0
AADACL2,0.0544884,0.0494024,0,0,0.0223518,0.012872
AADACL2-AS1,0,0,0,0,0,0
AADACL3,0,0,0.0169266,0,0,0
AADACL4,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0
AADAT,9.57472,10.8359,11.1873,9.65289,10.2915,11.2376
AAGAB,43.2681,46.321,46.1944,54.2733,58.8088,60.5569
AAK1,4.39884,4.04135,4.04252,4.40984,3.38673,5.34828
AAMDC,21.8619,20.8868,19.8325,28.7857,30.4828,22.0546
AAMP,126.506,139.314,131.216,125.323,114.481,123.238
AANAT,0.404229,0.347925,0.213323,0.363912,0.0836133,0.0692534
AAR2,21.0351,22.3578,21.6184,23.6913,25.6577,23.7509
AARD,0.757581,0.602258,0.281062,0.680472,0.393749,0.91538
AARS1,79.2564,83.7235,81.0025,95.8538,95.6097,96.3235
AARS2,21.0536,18.9017,19.4996,17.9097,17.803,17.9774
AARSD1,62.8372,65.2629,58.246,45.9474,41.6698,50.5817
AARSD1P1,0.576067,0.34351,0.616963,1.02387,0.707105,0.908245
AASDH,6.1974,7.92585,6.50722,7.74686,7.45496,8.55852
AASDHPPT,39.3416,40.5742,36.5282,52.5283,55.7469,50.5189
AASS,9.52937,9.19204,9.87689,11.1419,10.5203,10.0579
AATBC,0,0,0,0,0,0
AATF,34.3056,36.2449,33.0184,39.1479,39.9065,37.1282
AATK,2.11756,0.888608,1.26523,1.6925,1.20631,1.13754
ABALON,0,0,0.035759,0.0655083,0,0
ABAT,2.57961,1.77918,2.45914,2.39745,2.61243,2.12082
ABCA10,0.432267,0.201469,0.0849473,0.206725,0.23844,0.20238
ABCA1,0.211792,0.203315,0.254276,0.372117,0.500313,0.569992
ABCA11P,5.35327,3.51624,3.77715,3.65546,4.06032,4.19399
ABCA12,0.00932747,0.0126697,0.0181394,0.0166354,0.0229456,0.00880606
ABCA13,0.0154234,0.0402095,0.0287644,0.0133103,0.0485322,0.0419181
ABCA17P,0.838037,0.411214,1.29967,0.706692,2.09511,0.447204
ABCA2,14.2059,15.1916,16.0607,15.2047,14.0978,21.3914
ABCA3,15.5496,16.8893,16.3109,14.8556,16.3671,14.7171
ABCA3P1,0,0,0,0,0,0
ABCA4,0.00890698,0,0,0.0238277,0,0.0494743
ABCA5,5.43117,4.04522,3.85048,5.13875,5.05882,4.77368
ABCA6,0.00797822,0.0177901,0.0352884,0.0580572,0.0130532,0.0225465
ABCA7,4.91405,5.69184,8.24668,8.4844,9.0151,6.36425
ABCA8,0.190774,0.0729629,0.0640969,0,0.134871,0
ABCA9,0.581298,0.454126,0.564418,0.495538,0.293177,0.200808
ABCA9-AS1,0,0,0,0,0,0
ABCB10,18.6225,17.2523,16.4202,18.1314,19.1769,17.0031
ABCB10P1,0,0,0,0,0,0
ABCB10P3,0,0,0,0.00329643,0,0
ABCB10P4,0.0632718,0.0577355,0,0.0252148,0,0
ABCB11,0.0188563,0.527202,0.558014,0.00840498,0,0.433338
ABCB1,3.06915,3.12667,2.05718,3.11597,3.49833,2.96737
ABCB4,0.302465,0.42134,0.569176,0.687145,0.708632,1.27089
ABCB5,0,0,0.0596774,0,0.0302779,0.0856336
ABCB6,12.2528,13.6805,14.3819,16.0364,9.62533,10.0922
ABCB7,27.3254,25.9017,25.7519,35.8253,29.27,34.1999
ABCB8,18.6657,19.9894,21.8475,18.7329,18.4768,21.1926
ABCB9,3.57959,5.28475,5.33592,4.03396,5.03322,3.63808
ABCC10,15.8071,17.3089,18.0146,12.3222,10.4113,11.0327
ABCC11,0.162905,0.465456,0.123542,0.192637,0.253199,0.391184
ABCC1,14.3915,14.2753,14.1329,16.0554,12.5696,16.067
ABCC12,0,0.0160253,0.00859209,0.0400346,0.1399,0.0310716
ABCC13,0.0162931,0.043944,0,0,0,0
ABCC2,0.976204,1.52094,0.71875,1.39754,0.781222,1.55179
ABCC3,1.4595,0.948336,1.02185,0.598271,0.277537,0.552597
ABCC4,7.74948,8.61278,7.8124,9.38727,9.42603,9.53083
ABCC5,13.2407,14.2258,13.3893,15.4669,14.8443,15.3383
ABCC5-AS1,0,0,0,0,0,0
ABCC6,2.76476,1.89577,3.31152,3.38638,2.90134,2.65844
ABCC6P1,1.88145,2.27856,2.40474,1.49159,2.08999,2.14025
ABCC6P2,1.12311,1.40542,2.0926,2.61425,0.762585,2.14992
ABCC8,1.56634,1.84921,1.69073,1.32996,1.4094,2.00163
ABCC9,0.4606,0.583843,0.572271,0.284875,0.17205,0.344884
ABCD1,2.56774,2.69871,2.99715,3.85401,4.21045,4.61842
ABCD1P2,0,0,0,0,0,0
ABCD1P3,0,0,0,0,0,0
ABCD1P4,0,0,0,0,0,0
ABCD2,0.072912,0.0188888,0.0607752,0.148622,0.119591,0.0295078
ABCD3,29.8182,33.2269,30.5312,37.3658,39.6483,37.1989
ABCD4,41.0122,43.6014,46.256,51.1529,54.2735,52.4288
ABCE1,72.0155,78.7459,77.2108,80.4554,78.3335,76.6652
ABCF1,53.877,57.0751,52.7623,52.8291,53.1319,51.8985
ABCF2,41.5638,46.3673,47.8969,43.3192,48.15,54.2931
ABCF2-H2BE1,22.9881,24.5791,28.2571,34.1167,30.8824,29.2619
ABCF2P1,0.0375497,0.0340322,0,0,0,0
ABCF2P2,0,0,0,0,0,0
ABCF3,22.0769,21.5633,19.178,16.4779,17.504,18.737
ABCG1,1.84349,1.82217,1.41358,2.74961,2.88122,2.55759
ABCG2,0.978511,1.07107,1.77835,1.06157,1.3696,1.00202
ABCG4,1.05213,0.590181,0.85578,1.25194,0.639841,1.85026
ABCG5,0.0667122,0.0211683,0.0216491,0.0219314,0.0182631,0.0232748
ABCG8,0.12544,0.0544895,0.0391591,0.0995657,0.101558,0.123291
ABHD10,28.1308,31.0879,29.0281,31.0812,32.2327,32.8461
ABHD11,18.2765,0.417074,0.922995,1.03703,0.750583,0.969187
ABHD1,1.3979,18.4628,21.5896,11.9294,15.5995,14.0334
ABHD11-AS1,0,0,0.125794,0.288662,0.319221,0
ABHD12,21.5169,22.9463,24.4098,28.4854,29.4422,27.4984
ABHD12B,0,0.110877,0.150001,0,0.0194231,0.114999
ABHD13,3.07324,3.37071,2.76016,2.98411,2.83611,2.87987
ABHD14A,8.64098,10.5565,9.22211,11.422,11.9906,11.9476
ABHD14A-ACY1,1.54319,1.418,2.36248,0.870488,0.660583,1.5702
ABHD14B,29.3448,31.189,31.294,28.6945,28.1189,26.8203
ABHD15,2.30198,2.01239,2.72635,2.46299,2.51037,2.47039
ABHD15-AS1,0,0,1.16852,0,0,0
ABHD16A,26.9249,32.1869,27.4626,17.6361,17.5749,19.2678
ABHD16B,0,0,0.0469049,0,0,0
ABHD17A,29.0831,25.9017,30.6882,38.8949,41.7503,39.9816
ABHD17AP1,0,0,0,0,0,0
ABHD17AP3,0,0,0,0,0,0.0636006
ABHD17AP4,0,0,0.0929151,0,0,0
ABHD17AP5,0,0,0.172612,0,0,0
ABHD17AP6,0,0,0.0774652,0,0,0
ABHD17AP9,0,0,0,0,0,0
ABHD17B,8.5635,7.51047,7.52623,11.5272,11.3333,11.2056
ABHD17C,9.76803,10.3329,9.61386,12.1969,11.3412,12.4056
ABHD18,8.09834,6.81326,7.24438,7.08146,6.12179,5.95099
ABHD2,8.62044,7.5237,11.2645,9.33597,10.1872,11.3234
ABHD3,24.3829,20.0108,23.1613,20.3433,21.8788,20.5131
ABHD4,6.56701,7.61342,4.77919,9.05634,7.02331,6.63276
ABHD5,12.3766,12.6727,13.1323,15.1147,13.8835,16.2216
ABHD6,8.01457,7.64475,6.2947,7.61875,7.92804,6.79181
ABHD8,2.54347,2.50165,1.78767,4.38617,4.69323,4.12575
ABI1,10.5805,12.4217,11.8089,15.1423,15.0666,15.2806
ABI1P1,0,0,0,0,0,0
ABI2,26.4367,27.3087,32.7295,42.5078,37.0022,39.3404
ABI3,0,0,0,0.0388901,0.0751991,0
ABI3BP,0.52461,0.621356,0.989264,0.7614,0.814386,1.12727
ABITRAM,21.0273,26.5833,21.2545,20.5984,20.6331,20.1519
ABITRAMP1,0,0,0,0,0,0
ABL1,16.4955,17.9843,13.7886,20.5002,17.1113,19.5085
ABL2,5.78986,5.14634,5.95093,6.68569,5.55189,7.29143
ABLIM1,14.4907,14.1155,13.7747,9.25718,9.30058,8.90376
ABLIM2,0.988784,0.940015,0.906538,0.951282,0.707565,0.85422
ABLIM3,0.451302,0.0939425,0.452408,0.310372,0.21011,0.120636
ABO,0.152819,0.369998,0.497265,0.0403237,0.73704,0.0485097
ABR,13.6503,13.3478,11.7046,18.9564,21.214,17.8872
ABRA,0,0,0.0239859,0,0,0
ABRACL,70.5525,78.0777,64.3131,79.0976,86.9804,76.0691
ABR-AS1,0,1.26071,0,0,0,0
ABRAXAS1,6.08742,5.8023,5.86731,5.94714,5.31167,6.41748
ABRAXAS2,14.4695,15.0021,14.1544,20.2346,20.5208,18.7198
ABT1,26.2862,30.5916,26.9113,36.1167,36.3733,36.9065
ABT1P1,0,0,0,0,0,0
ABTB1,2.23402,2.31501,1.7686,2.59124,3.8103,2.67383
ABTB2,2.98775,3.5789,2.81137,4.14133,3.85166,3.70061
ACAA1,29.6498,29.5841,28.8371,35.8181,32.8375,33.2758
ACAA2,25.6294,29.3144,27.0442,35.4892,37.5596,35.8525
ACACA,15.011,16.4857,18.0323,19.6705,23.4811,19.8921
ACACB,3.98291,5.45955,2.11718,3.72742,3.9369,4.92113
ACAD10,10.1651,11.1885,9.93483,9.87736,11.59,12.4581
ACAD11,31.8093,34.2322,33.4502,49.0254,50.7761,50.3741
ACAD8,14.5886,17.2864,15.492,14.4812,16.3183,16.7221
ACAD9,21.3224,21.8867,22.7997,29.1018,28.1508,27.5009
ACADL,2.04406,1.17508,1.36591,1.74259,1.88294,1.71707
ACADM,59.4678,56.8954,54.5543,72.5533,75.6179,73.3723
ACADS,6.19145,3.90492,5.26342,6.05629,7.16795,6.36305
ACADSB,10.2872,10.543,10.3271,17.388,15.7888,14.7197
ACADVL,149.014,154.466,146.956,153.646,148.462,151.302
ACAN,0.044119,0.0537787,0.138015,0.0451623,0.122005,0.0793173
ACAP1,1.76333,2.25688,1.25364,1.42266,1.32606,2.63013
ACAP2,5.85495,7.14938,8.84769,8.76077,8.08927,9.30818
ACAP2-IT1,0.363416,0.657542,0.714212,0.868861,0,0.702342
ACAP3,24.169,26.0499,28.4692,33.9147,32.495,27.6806
ACAT1,73.0396,75.7611,73.2129,83.8341,89.4759,85.6088
ACAT2,73.8521,80.491,72.27,66.1053,65.6102,61.9467
ACBD3,32.548,35.0161,38.1949,40.6352,37.6759,39.2951
ACBD3-AS1,0,0,0,0.154088,0,0
ACBD4,5.27314,4.63212,4.69515,4.75989,5.22425,3.28713
ACBD5,7.05738,6.64966,6.34391,7.95594,9.08538,8.72495
ACBD6,55.5671,52.5895,52.7633,65.6576,63.2015,66.2351
ACBD7,3.27461,2.97924,2.95782,3.06111,2.60589,2.35365
