,l3.1,l3.2,l11.1,l11.2
5_8S_rRNA,448.336,285.025,184.446,224.716
5S_rRNA,0,0,0,5.81775
7SK,3.24E-07,28.0942,0,5.30E-09
A1BG,13.294,14.9993,18.6434,12.7265
A1BG-AS1,6.72393,5.82051,6.47828,8.85219
A1CF,0.00681266,0.0243994,0,0.0578172
A2M,0.284513,0.259222,0.0609262,0.749497
A2M-AS1,0.395668,0.300864,0.147952,0.439854
A2ML1,0.0192628,0.0172682,0.253875,0.0694303
A2ML1-AS1,0,0,0,0
A2ML1-AS2,0,0,0.300956,0
A2MP1,0.0595479,0.0139503,0,0
A3GALT2,0.0719005,0,0.15756,0
A4GALT,2.76718,3.92721,2.14083,3.38271
A4GNT,0,0,0,0
AA06,0,0,0,0
AAAS,60.2118,62.495,56.2385,60.4886
AACS,8.87556,8.02898,10.8398,10.8405
AACSP1,0.0232195,0.0208426,0,0.139666
AADAC,0,0,0,0
AADACL2,0,0,0,0.0160031
AADACL2-AS1,0,0,0,0
AADACL3,0,0,0,0
AADACL4,0,0,0,0
AADACP1,0,0,0,0
AADAT,11.2285,10.0696,10.333,9.78236
AAGAB,53.1174,60.5909,61.6744,52.4105
AAK1,4.27643,4.77356,5.38541,5.11128
AAMDC,24.9619,28.9981,27.6917,27.7001
AAMP,116.852,116.205,112.237,143.644
AANAT,0.499482,0.543083,0.232254,0.137825
AAR2,26.5725,25.1036,21.6616,21.9415
AARD,0.735326,0.341711,0.274386,0.0408533
AARS1,100.433,101.986,98.9142,93.4579
AARS2,20.8718,18.6842,19.0432,18.7243
AARSD1,44.509,40.3487,38.8351,48.596
AARSD1P1,0.668091,0.359684,0.769951,0.732725
AASDH,9.85574,7.99761,8.46362,8.65894
AASDHPPT,45.3806,50.0969,50.7948,50.7348
AASS,8.34727,8.04487,11.6021,10.7278
AATBC,0,0,0,0
AATF,37.1442,35.7971,37.4345,37.0254
AATK,1.36541,1.73975,2.11892,2.03861
ABALON,0,0,0,0
ABAT,2.90088,2.86347,2.17173,2.71334
ABCA10,0.190383,0.222962,0.302277,0.0676797
ABCA1,0.424509,0.285731,0.436345,0.332398
ABCA11P,2.37691,4.73806,3.88003,4.46106
ABCA12,0.0180396,0,0.0593979,0.0108278
ABCA13,0.0285994,0.0384488,0,0.0515319
ABCA17P,0.160764,0.201385,0.452509,0.24378
ABCA2,19.5941,13.9939,20.4618,26.5049
ABCA3,17.9064,17.7424,19.3343,18.1941
ABCA3P1,0,0,0,0
ABCA4,0.0172261,0,0.00945336,0.025236
ABCA5,6.17545,3.69508,4.36224,5.9407
ABCA6,0.0615377,0.0138096,0.0169422,0.018827
ABCA7,8.37352,6.23041,9.55446,8.69174
ABCA8,0.260361,0.0100282,0.13976,0.0557018
ABCA9,0.370619,0.163752,0.117887,0.448627
ABCA9-AS1,0,0,0,0
ABCB10,18.775,18.3216,19.7081,19.6046
ABCB10P1,0,0,0,0
ABCB10P3,0.154157,0.0367896,0,0
ABCB10P4,0,0.0186042,0.236263,0
ABCB11,0.00911882,0.342031,0,0.793142
ABCB1,3.16486,2.70266,2.9406,4.57638
ABCB4,0.757237,0.588324,1.61,1.71395
ABCB5,0.0237975,0.0798761,0.0261169,0.153991
ABCB6,8.80435,9.93734,11.1951,11.3247
ABCB7,24.1412,29.6787,32.6152,27.2712
ABCB8,20.7727,21.3551,20.8118,25.794
ABCB9,4.26471,4.08965,5.07198,4.38662
ABCC10,14.256,13.4969,12.5678,10.618
ABCC11,0.314514,0.541243,0.168442,0.270985
ABCC1,11.1086,13.4367,15.2672,16.4826
ABCC12,0,0,0.0281362,0.0205143
ABCC13,0,0,0,0.0282103
ABCC2,0.656216,0.704743,0.637804,1.37294
ABCC3,0.466076,0.561374,0.411322,0.237673
ABCC4,9.02737,8.49587,9.49006,10.5126
ABCC5,12.8444,15.6941,16.6944,18.2425
ABCC5-AS1,0,0,0,0
ABCC6,3.34363,5.65353,3.48358,2.83397
ABCC6P1,2.63256,2.51586,2.57132,2.17418
ABCC6P2,2.18553,2.41389,1.94348,3.52785
ABCC8,0.951659,1.0798,2.48341,1.97925
ABCC9,0.317464,0.650078,0.218002,0.200024
ABCD1,3.99592,2.95435,3.63147,3.78207
ABCD1P2,0,0,0,0
ABCD1P3,0,0,0,0
ABCD1P4,0,0,0,0
ABCD2,0.15109,0.0360921,0.154769,0.13303
ABCD3,34.2894,32.9652,37.5819,44.2837
ABCD4,45.9767,51.4855,58.1277,64.8189
ABCE1,79.2117,80.7885,86.0948,82.7303
ABCF1,50.0534,51.3196,56.2703,50.8181
ABCF2,43.5453,44.6782,37.647,49.0882
ABCF2-H2BE1,28.2927,33.3294,36.325,31.7534
ABCF2P1,0,0,0,0
ABCF2P2,0,0,0,0
ABCF3,20.1716,18.2292,16.97,16.8665
ABCG1,3.24212,2.78278,3.24222,3.19732
ABCG2,0.944405,1.31436,2.14017,1.40169
ABCG4,0.90197,0.836388,1.20253,1.34506
ABCG5,0.118871,0.126406,0.026083,0.0271738
ABCG8,0.0862659,0.0598362,0.107168,0.0402663
ABHD10,35.7953,33.8003,37.0741,34.9285
ABHD11,20.347,1.05794,17.2977,14.3525
ABHD1,1.24794,15.0262,0,1.66234
ABHD11-AS1,0.313063,0.226321,2.04515,0
ABHD12,26.1298,26.1928,26.7526,29.5146
ABHD12B,0,0.0417432,0,0
ABHD13,3.13988,3.31823,3.40644,2.90736
ABHD14A,13.5122,17.1044,12.106,17.4671
ABHD14A-ACY1,1.83377,1.014,1.19915,1.89397
ABHD14B,34.3505,32.881,35.491,34.8373
ABHD15,2.9858,2.86141,3.09531,3.09954
ABHD15-AS1,0,0,0,0
ABHD16A,20.5899,17.4993,17.0069,19.7575
ABHD16B,0,0,0,0
ABHD17A,44.4265,44.7207,46.2526,42.7055
ABHD17AP1,0.0969511,0,0,0
ABHD17AP3,0,0,0,0
ABHD17AP4,0,0,0,0
ABHD17AP5,0,0,0.0923191,0
ABHD17AP6,0,0,0,0
ABHD17AP9,0,0,0,0
ABHD17B,11.0607,10.3057,11.4128,10.8446
ABHD17C,14.1732,13.5157,12.5739,12.4859
ABHD18,6.70588,6.70971,7.08016,8.62823
ABHD2,10.4078,10.2303,11.2745,10.1288
ABHD3,21.6442,29.8184,26.5725,26.5235
ABHD4,8.54785,6.92034,6.72728,5.8828
ABHD5,14.6797,13.2008,13.3031,16.6261
ABHD6,7.8486,7.91825,9.55254,6.81893
ABHD8,4.79875,5.55607,5.58792,5.06855
ABI1,14.6757,14.881,16.0975,16.5865
ABI1P1,0,0,0,0
ABI2,35.1212,33.3575,36.4587,42.0807
ABI3,0,0,0.138627,0
ABI3BP,0.865374,1.35565,1.34004,1.69527
ABITRAM,20.7759,23.6258,22.1701,18.0776
ABITRAMP1,0,0,0,0
ABL1,21.44,20.5995,17.6157,20.938
ABL2,6.27473,4.93263,5.85529,7.17798
ABLIM1,9.60574,9.19505,10.2499,9.01919
