,NT.1,NT.2,HNRNPA2B1.1,HNRNPA2B1.2,CD99.1,CD99.2,B4GALNT1.1,B4GALNT1.2
5_8S_rRNA,83.2009,81.8225,99.5222,109.172,66.128,72.8775,58.4376,43.9838
5S_rRNA,0,2.77923,0,0,3.25345,0,0,2.4198
7SK,1.99E-08,0,18.5565,0,3.86E-08,3.17E-08,9.37E-09,0
A1BG,18.5202,19.7198,19.1949,24.4932,19.4958,21.1921,20.2149,14.8866
A1BG-AS1,5.99779,6.19425,5.81608,4.30887,5.31683,6.11583,6.54846,6.69073
A1CF,0.0141098,0,0,0.00976592,0.0153148,0,0.0237202,0
A2M,0.00959176,0,0,0,0,0,0.00977203,0
A2M-AS1,0.168926,0.0775562,0.199001,0.129381,0.18277,0.198219,0.278678,0.0841978
A2ML1,0.0444263,0.209458,0.0156688,0,0,0,0.0895645,0.0266046
A2ML1-AS1,0,0,0,0,0,0,0,0
A2ML1-AS2,0.203895,0.188401,0,0,0,0,0,0
A2MP1,0.0415996,0,0,0,0,0.0593629,0,0
A3GALT2,0.0503774,0,0,0,0,0,0,0.0498735
A4GALT,4.07603,3.37549,3.68429,3.2049,4.11356,4.09336,3.86618,3.19227
A4GNT,0,0,0,0,0,0,0,0
AA06,0,0,0,0,0,0,0,0
AAAS,61.9446,60.1584,68.4685,59.3059,60.8201,62.9372,65.0888,60.4693
AACS,9.22068,10.0161,8.39515,9.32628,8.20657,8.53961,9.4983,9.67984
AACSP1,0,0.0145417,0,0,0.0348401,0,0,0.0160503
AADAC,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0.0104271,0,0
AADACL2-AS1,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0
AADACL4,0,0.0416401,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0
AADAT,3.74744,3.86702,4.15045,4.15103,5.16189,4.17659,4.92387,4.98069
AAGAB,53.982,54.4326,56.4058,55.8151,56.1572,52.9959,57.5789,57.8449
AAK1,4.17886,5.08756,4.58326,5.19627,4.90198,4.01447,5.0946,4.7941
AAMDC,29.8916,31.5172,30.8,32.5167,26.4118,26.0277,29.9677,27.4469
AAMP,96.3456,110.886,110.098,105.887,123.995,104.857,107.755,107.405
AANAT,0.0689095,0.261532,0,0.0764366,0.0530042,0,0.0689496,0.137744
AAR2,26.3166,27.2135,25.4361,24.0248,26.7882,26.1534,25.8768,25.4675
AARD,0.267438,0.449727,0.213342,0.160416,0.418879,0.146353,0.382928,0.241051
AARS1,138.665,147.46,144.994,141.024,136.786,133.085,142.528,142.29
AARS2,14.6751,15.6728,16.5841,14.7652,14.8813,15.5832,15.831,15.8072
AARSD1,27.0974,29.8631,23.0583,27.8674,25.3566,23.4837,27.7451,27.3425
AARSD1P1,0.727704,1.12555,1.14718,1.06079,1.36509,0.824423,0.663349,1.03927
AASDH,6.92823,6.26876,6.79049,7.29286,7.7815,8.21789,7.64616,8.17659
AASDHPPT,45.5232,41.6712,53.529,51.5747,46.1547,46.101,49.775,54.1655
AASS,7.59118,8.59363,9.12877,8.72265,8.65597,8.21347,10.2376,10.3034
AATBC,0.0564642,0,0.0113066,0,0,0,0,0.0558224
AATF,31.2581,34.7407,37.0863,33.2214,31.798,33.7921,31.8767,33.9827
AATK,1.36828,1.01708,0.88541,0.992824,1.63969,2.11479,1.15072,1.52571
ABALON,0,0,0,0,0,0,0,0
ABAT,1.74254,1.70991,1.35122,1.46611,2.07903,1.48899,1.91771,2.06629
ABCA10,0.117225,0.389385,0.138547,0.162505,0.110799,0.0887276,0.118357,0.193937
ABCA1,0.245087,0.258728,0.528429,0.28757,0.21659,0.204946,0.40279,0.460292
ABCA11P,1.64357,2.80044,2.33275,2.59072,2.6213,2.19159,1.61812,2.07133
ABCA12,0.0373639,0.0252429,0.00731489,0,0,0.0285522,0.0237764,0.0139921
ABCA13,0.0452281,0.0407947,0,0,0.0214465,0.0226442,0.0100685,0.0395079
ABCA17P,0.195636,0.395821,0.230752,0.203351,0.181142,0.157631,0.749939,0.456112
ABCA2,17.0076,15.0675,14.4067,14.3807,18.345,16.3211,25.104,19.2511
ABCA3,25.406,27.1526,27.5374,26.1719,27.9163,25.8764,28.5069,31.0759
ABCA3P1,0,0,0,0,0,0,0,0
ABCA4,0.083197,0.133559,0.00698402,0,0,0,0.0828765,0.0118951
ABCA5,2.81413,2.94234,2.91435,2.59127,3.23675,3.11622,3.40294,3.35853
ABCA6,0.0106355,0,0,0.0110285,0.00576862,0,0.043192,0.00531304
ABCA7,3.43381,3.92115,2.92867,3.29336,2.56065,2.92497,3.85041,4.86819
ABCA8,0,0,0,0.129585,0.0159251,0,0.0874091,0.0219842
ABCA9,0.0776256,0.14996,0.120571,0,0.170702,0.23713,0.140787,0.0343476
ABCA9-AS1,0,0.116279,0,0,0,0,0,0
ABCB10,12.4605,13.0206,15.7531,15.2112,15.8223,13.5535,16.2076,16.789
ABCB10P1,0,0,0,0,2.79E-05,0,0,4.79E-07
ABCB10P3,0,0,0.0251734,0.0222323,0.0231157,0,0,0.0213224
ABCB10P4,0,0,2.84E-05,9.58E-08,0.022937,0,0.0218438,6.21E-07
ABCB11,0.180711,0,0,0,0.180585,0,0,0
ABCB1,1.40147,2.5849,1.92033,1.98848,1.72056,2.51226,1.52796,1.83195
ABCB4,0.501526,0.398767,0.267654,0.530092,0.693856,0.90498,0.540849,0.796119
ABCB5,0,0,0,0.0607264,0.0227115,0.0469285,0.00837701,0.00821861
ABCB6,7.80867,6.78488,4.86444,6.85743,5.71183,6.09755,8.32943,8.58958
ABCB7,34.4886,34.7814,31.7978,32.6332,33.0948,33.106,41.777,38.087
ABCB8,17.8495,16.8676,16.5988,18.88,17.3668,17.8975,17.6169,16.7908
ABCB9,2.96935,3.66059,3.03558,2.81779,3.0378,2.5917,3.04887,2.93984
ABCC10,6.61605,6.64144,7.29922,7.09641,6.07488,8.03018,10.5855,8.59893
ABCC11,0.204079,0.182951,0.20608,0.359892,0.335819,0.535371,0.288939,0.288713
ABCC1,12.7593,15.2281,14.272,13.9124,14.2532,15.0917,15.7105,16.7392
ABCC12,0.0404898,0.0103632,0,0,0,0,0,0
ABCC13,0,0.00984426,0,0,0,0.0310382,0,0
ABCC2,0.249246,0.631655,0.232577,0.26076,0.291364,0.183831,0.483175,0.499906
ABCC3,0,0.0283363,0.0725466,0.259879,0.0770339,0.0361147,0.178092,0.0611429
ABCC4,10.4985,10.3367,10.9673,10.2723,10.0817,9.60096,11.779,11.618
ABCC5,9.80305,9.50763,9.06158,10.2779,10.7021,8.07428,9.92944,12.7923
ABCC5-AS1,0,0,0,0,0,0,0,0
ABCC6,2.64536,2.14369,4.06868,3.58388,2.65261,2.60948,2.38859,3.38916
ABCC6P1,1.67683,2.26097,1.5806,2.4293,1.65607,2.2338,1.11668,1.66196
ABCC6P2,1.62514,1.21745,1.82157,2.66416,1.56783,1.88236,1.795,2.90725
ABCC8,0.624481,0.850648,0.597417,0.949867,0.798774,0.73185,1.24782,0.361915
ABCC9,0.0413473,0.0976728,0.0922985,0.102535,0.061708,0.0666284,0.149208,0.0450106
ABCD1,3.76202,3.54077,2.65127,2.94941,2.98476,3.53818,4.28525,3.41947
ABCD1P2,0,0,0,0,0,0,0,0
ABCD1P3,0,0,0,0,0,0,0,0
ABCD1P4,0,0,0,0,0,0,0,0
ABCD2,0.0278187,0.0376816,0.106235,0.0794804,0.0452974,0.0478292,0.120549,0.159992
ABCD3,26.814,29.3289,28.9297,29.7441,29.5729,28.3382,31.631,32.6893
ABCD4,23.449,27.3032,18.4823,19.2616,21.4168,20.2314,26.7698,25.1478
ABCE1,62.4332,61.9952,68.7735,68.6755,73.3241,66.6071,73.0986,72.1879
ABCF1,46.7235,50.1732,49.3886,49.025,45.3582,50.6438,50.7157,51.2099
ABCF2,27.681,36.7341,37.6246,30.8981,31.1914,32.2136,33.032,26.7009
ABCF2-H2BE1,38.675,41.8458,37.8064,35.9502,36.9446,40.1703,37.4553,42.0852
ABCF2P1,0,0,0,0,0,0,0,0
ABCF2P2,0,0,0,0,0,0,0,0
ABCF3,14.1611,15.0643,14.4094,12.5165,13.6471,12.7438,16.427,16.2913
ABCG1,3.64407,3.39918,3.0427,3.83653,2.95916,2.92984,3.59206,4.03403
ABCG2,1.27415,1.68878,0.782133,0.946133,0.894959,0.790683,1.40423,1.23639
ABCG4,0.618055,0.940567,0.499061,0.361084,0.497991,0.434931,0.836617,0.690741
ABCG5,0.0182189,0.0297838,0.0387673,0.0189332,0,0.124878,0.0185123,0
